 x  	 F(x)  
0	-0.00698991
0.001	-0.00676561
0.002	-0.00652677
0.003	-0.00627323
0.004	-0.00600483
0.005	-0.00572141
0.006	-0.00542282
0.007	-0.0051089
0.008	-0.0047795
0.009	-0.00443447
0.01	-0.00407366
0.011	-0.00369691
0.012	-0.00330407
0.013	-0.00289502
0.014	-0.00246959
0.015	-0.00202765
0.016	-0.00156906
0.017	-0.00109368
0.018	-0.000601385
0.019	-9.20328e-05
0.02	0.000434502
0.021	0.000978345
0.022	0.00153962
0.023	0.00211844
0.024	0.00271494
0.025	0.00332921
0.026	0.00396137
0.027	0.00461152
0.028	0.00527978
0.029	0.00596622
0.03	0.00667095
0.031	0.00739406
0.032	0.00813562
0.033	0.00889572
0.034	0.00967443
0.035	0.0104718
0.036	0.011288
0.037	0.0121229
0.038	0.0129767
0.039	0.0138494
0.04	0.0147411
0.041	0.0156517
0.042	0.0165814
0.043	0.01753
0.044	0.0184978
0.045	0.0194846
0.046	0.0204904
0.047	0.0215153
0.048	0.0225593
0.049	0.0236223
0.05	0.0247043
0.051	0.0258053
0.052	0.0269252
0.053	0.028064
0.054	0.0292216
0.055	0.0303979
0.056	0.031593
0.057	0.0328067
0.058	0.0340389
0.059	0.0352895
0.06	0.0365584
0.061	0.0378455
0.062	0.0391507
0.063	0.0404738
0.064	0.0418148
0.065	0.0431734
0.066	0.0445494
0.067	0.0459428
0.068	0.0473534
0.069	0.0487809
0.07	0.0502251
0.071	0.0516859
0.072	0.0531631
0.073	0.0546563
0.074	0.0561655
0.075	0.0576902
0.076	0.0592304
0.077	0.0607857
0.078	0.0623558
0.079	0.0639406
0.08	0.0655396
0.081	0.0671526
0.082	0.0687792
0.083	0.0704193
0.084	0.0720724
0.085	0.0737382
0.086	0.0754164
0.087	0.0771066
0.088	0.0788085
0.089	0.0805217
0.09	0.0822458
0.091	0.0839805
0.092	0.0857254
0.093	0.08748
0.094	0.089244
0.095	0.091017
0.096	0.0927986
0.097	0.0945882
0.098	0.0963856
0.099	0.0981903
0.1	0.100002
0.101	0.10182
0.102	0.103644
0.103	0.105473
0.104	0.107307
0.105	0.109146
0.106	0.110989
0.107	0.112836
0.108	0.114686
0.109	0.116539
0.11	0.118394
0.111	0.12025
0.112	0.122108
0.113	0.123967
0.114	0.125826
0.115	0.127685
0.116	0.129544
0.117	0.131401
0.118	0.133257
0.119	0.13511
0.12	0.136961
0.121	0.13881
0.122	0.140654
0.123	0.142495
0.124	0.144331
0.125	0.146162
0.126	0.147988
0.127	0.149809
0.128	0.151623
0.129	0.15343
0.13	0.15523
0.131	0.157023
0.132	0.158807
0.133	0.160584
0.134	0.162351
0.135	0.164109
0.136	0.165857
0.137	0.167596
0.138	0.169324
0.139	0.171041
0.14	0.172747
0.141	0.174441
0.142	0.176124
0.143	0.177794
0.144	0.179451
0.145	0.181096
0.146	0.182728
0.147	0.184345
0.148	0.185949
0.149	0.187539
0.15	0.189115
0.151	0.190675
0.152	0.192221
0.153	0.193752
0.154	0.195267
0.155	0.196766
0.156	0.19825
0.157	0.199717
0.158	0.201169
0.159	0.202603
0.16	0.204021
0.161	0.205423
0.162	0.206807
0.163	0.208174
0.164	0.209525
0.165	0.210857
0.166	0.212173
0.167	0.213471
0.168	0.214751
0.169	0.216014
0.17	0.217259
0.171	0.218486
0.172	0.219696
0.173	0.220887
0.174	0.222061
0.175	0.223217
0.176	0.224355
0.177	0.225476
0.178	0.226579
0.179	0.227664
0.18	0.228731
0.181	0.229781
0.182	0.230813
0.183	0.231828
0.184	0.232825
0.185	0.233806
0.186	0.234769
0.187	0.235715
0.188	0.236644
0.189	0.237557
0.19	0.238453
0.191	0.239332
0.192	0.240195
0.193	0.241042
0.194	0.241874
0.195	0.242689
0.196	0.243489
