Iter# 	    Gauss	    Cauchy	    Tanh	    Laplace	    Tri	    Sinc
0	1.33244e-05	0.000238858	3.75298e-05	9.67168e-05	5.44429e-06	0.000269094
2000	8.91934e-06	5.71384e-05	2.70059e-05	4.24711e-05	3.36149e-06	0.000252552
4000	8.80974e-06	5.63331e-05	2.62699e-05	4.13149e-05	3.22409e-06	0.000248587
6000	8.74846e-06	5.58781e-05	2.58566e-05	4.06787e-05	3.14764e-06	0.000245853
8000	8.70608e-06	5.55618e-05	2.55706e-05	4.02439e-05	3.09508e-06	0.000243706
10000	8.6738e-06	5.53201e-05	2.53529e-05	3.99156e-05	3.05526e-06	0.000241912
12000	8.64779e-06	5.51249e-05	2.51777e-05	3.96529e-05	3.02331e-06	0.000240358
14000	8.62603e-06	5.49615e-05	2.50313e-05	3.94347e-05	2.99671e-06	0.00023898
16000	8.60736e-06	5.4821e-05	2.49057e-05	3.92483e-05	2.97397e-06	0.000237738
18000	8.59102e-06	5.4698e-05	2.4796e-05	3.9086e-05	2.95414e-06	0.000236603
