 x  	 F(x)  
0	0.01336
0.002	0.0141529
0.004	0.0149786
0.006	0.0158383
0.008	0.0167327
0.01	0.017663
0.012	0.0186301
0.014	0.019635
0.016	0.0206785
0.018	0.0217616
0.02	0.0228851
0.022	0.0240498
0.024	0.0252566
0.026	0.0265061
0.028	0.0277991
0.03	0.0291361
0.032	0.0305176
0.034	0.0319442
0.036	0.0334162
0.038	0.0349339
0.04	0.0364974
0.042	0.0381069
0.044	0.0397623
0.046	0.0414635
0.048	0.0432101
0.05	0.0450019
0.052	0.0468382
0.054	0.0487184
0.056	0.0506417
0.058	0.0526071
0.06	0.0546136
0.062	0.0566599
0.064	0.0587446
0.066	0.0608662
0.068	0.0630231
0.07	0.0652134
0.072	0.0674353
0.074	0.0696867
0.076	0.0719654
0.078	0.0742692
0.08	0.0765957
0.082	0.0789425
0.084	0.0813071
0.086	0.0836869
0.088	0.0860792
0.09	0.0884814
0.092	0.0908909
0.094	0.093305
0.096	0.095721
0.098	0.0981362
0.1	0.100548
0.102	0.102954
0.104	0.105352
0.106	0.107739
0.108	0.110113
0.11	0.112472
0.112	0.114813
0.114	0.117136
0.116	0.119437
0.118	0.121716
0.12	0.123971
0.122	0.1262
0.124	0.128403
0.126	0.130578
0.128	0.132724
0.13	0.134842
0.132	0.136929
0.134	0.138987
0.136	0.141014
0.138	0.143011
0.14	0.144977
0.142	0.146914
0.144	0.148821
0.146	0.1507
0.148	0.15255
0.15	0.154372
0.152	0.156169
0.154	0.157939
0.156	0.159685
0.158	0.161409
0.16	0.16311
0.162	0.164791
0.164	0.166453
0.166	0.168098
0.168	0.169728
0.17	0.171343
0.172	0.172946
0.174	0.174539
0.176	0.176123
0.178	0.1777
0.18	0.179272
0.182	0.180841
0.184	0.182408
0.186	0.183976
0.188	0.185547
0.19	0.187121
0.192	0.188702
0.194	0.19029
0.196	0.191888
0.198	0.193497
0.2	0.195119
0.202	0.196755
0.204	0.198408
0.206	0.200078
0.208	0.201767
0.21	0.203476
0.212	0.205207
0.214	0.206961
0.216	0.208738
0.218	0.21054
0.22	0.212368
0.222	0.214222
0.224	0.216103
0.226	0.218011
0.228	0.219947
0.23	0.221911
0.232	0.223903
0.234	0.225922
0.236	0.22797
0.238	0.230045
0.24	0.232147
0.242	0.234275
0.244	0.236428
0.246	0.238606
0.248	0.240807
0.25	0.243031
0.252	0.245275
0.254	0.247539
0.256	0.24982
0.258	0.252118
0.26	0.25443
0.262	0.256754
0.264	0.259089
0.266	0.261432
0.268	0.263781
0.27	0.266135
0.272	0.268491
0.274	0.270846
0.276	0.273199
0.278	0.275548
0.28	0.277889
0.282	0.280222
0.284	0.282544
0.286	0.284853
0.288	0.287147
0.29	0.289425
0.292	0.291684
0.294	0.293922
0.296	0.296139
0.298	0.298333
0.3	0.300503
0.302	0.302647
0.304	0.304764
0.306	0.306854
0.308	0.308916
0.31	0.310949
0.312	0.312953
0.314	0.314927
0.316	0.316871
0.318	0.318785
0.32	0.32067
0.322	0.322526
0.324	0.324352
0.326	0.32615
0.328	0.32792
0.33	0.329663
0.332	0.33138
0.334	0.333071
0.336	0.334738
0.338	0.336382
0.34	0.338004
0.342	0.339605
0.344	0.341187
0.346	0.342751
0.348	0.344299
0.35	0.345832
0.352	0.347352
0.354	0.34886
0.356	0.350359
0.358	0.351849
0.36	0.353333
0.362	0.354812
0.364	0.356288
0.366	0.357763
0.368	0.359239
0.37	0.360716
0.372	0.362198
0.374	0.363685
0.376	0.365179
0.378	0.366682
0.38	0.368196
0.382	0.369722
0.384	0.37126
0.386	0.372814
0.388	0.374384
0.39	0.375971
0.392	0.377577
0.394	0.379203
0.396	0.38085
0.398	0.382518
0.4	0.384209
0.402	0.385923
0.404	0.387661
0.406	0.389423
0.408	0.391211
0.41	0.393023
0.412	0.39486
0.414	0.396723
0.416	0.398611
0.418	0.400523
0.42	0.40246
0.422	0.40442
0.424	0.406404
0.426	0.40841
0.428	0.410438
0.43	0.412486
0.432	0.414554
0.434	0.416639
0.436	0.418741
0.438	0.420858
0.44	0.422988
0.442	0.42513
0.444	0.427282
0.446	0.429443
0.448	0.43161
0.45	0.433781
0.452	0.435955
0.454	0.438129
0.456	0.440302
0.458	0.442471
0.46	0.444635
0.462	0.446792
0.464	0.44894
0.466	0.451076
0.468	0.4532
0.47	0.45531
0.472	0.457403
0.474	0.459479
0.476	0.461536
0.478	0.463572
0.48	0.465587
0.482	0.467579
0.484	0.469548
0.486	0.471492
0.488	0.473411
