 x 	V[Y|X = x] 
0	0.0172099
0.002	0.0173283
0.004	0.0174503
0.006	0.017576
0.008	0.0177053
0.01	0.0178382
0.012	0.0179746
0.014	0.0181144
0.016	0.0182576
0.018	0.018404
0.02	0.0185535
0.022	0.0187059
0.024	0.0188611
0.026	0.0190189
0.028	0.0191791
0.03	0.0193413
0.032	0.0195054
0.034	0.019671
0.036	0.0198378
0.038	0.0200055
0.04	0.0201736
0.042	0.0203419
0.044	0.0205097
0.046	0.0206768
0.048	0.0208427
0.05	0.0210068
0.052	0.0211688
0.054	0.0213279
0.056	0.0214839
0.058	0.0216361
0.06	0.0217839
0.062	0.021927
0.064	0.0220646
0.066	0.0221965
0.068	0.0223219
0.07	0.0224405
0.072	0.0225518
0.074	0.0226553
0.076	0.0227507
0.078	0.0228376
0.08	0.0229156
0.082	0.0229845
0.084	0.023044
0.086	0.023094
0.088	0.0231342
0.09	0.0231647
0.092	0.0231853
0.094	0.0231961
0.096	0.0231971
0.098	0.0231886
0.1	0.0231707
0.102	0.0231435
0.104	0.0231075
0.106	0.0230629
0.108	0.0230101
0.11	0.0229496
0.112	0.0228818
0.114	0.0228072
0.116	0.0227263
0.118	0.0226397
0.12	0.0225479
0.122	0.0224515
0.124	0.0223512
0.126	0.0222475
0.128	0.022141
0.13	0.0220324
0.132	0.0219223
0.134	0.0218112
0.136	0.0216997
0.138	0.0215885
0.14	0.021478
0.142	0.0213689
0.144	0.0212615
0.146	0.0211565
0.148	0.0210543
0.15	0.0209554
0.152	0.0208601
0.154	0.0207689
0.156	0.0206821
0.158	0.0206001
0.16	0.0205232
0.162	0.0204517
0.164	0.0203858
0.166	0.0203257
0.168	0.0202718
0.17	0.0202241
0.172	0.0201828
0.174	0.020148
0.176	0.0201199
0.178	0.0200985
0.18	0.0200838
0.182	0.020076
0.184	0.020075
0.186	0.0200808
0.188	0.0200933
0.19	0.0201125
0.192	0.0201383
0.194	0.0201707
0.196	0.0202093
0.198	0.0202542
0.2	0.0203051
0.202	0.0203618
0.204	0.020424
0.206	0.0204916
0.208	0.0205643
0.21	0.0206417
0.212	0.0207235
0.214	0.0208094
0.216	0.020899
0.218	0.0209919
0.22	0.0210878
0.222	0.021186
0.224	0.0212863
0.226	0.0213882
0.228	0.021491
0.23	0.0215944
0.232	0.0216979
0.234	0.0218008
0.236	0.0219027
0.238	0.022003
0.24	0.0221012
0.242	0.0221968
0.244	0.0222892
0.246	0.0223779
0.248	0.0224624
0.25	0.0225421
0.252	0.0226167
0.254	0.0226857
0.256	0.0227486
0.258	0.0228051
0.26	0.0228548
0.262	0.0228974
0.264	0.0229326
0.266	0.0229602
0.268	0.02298
0.27	0.0229919
0.272	0.0229958
0.274	0.0229916
0.276	0.0229793
0.278	0.0229591
0.28	0.0229311
0.282	0.0228952
0.284	0.0228519
0.286	0.0228014
0.288	0.0227438
0.29	0.0226796
0.292	0.0226091
0.294	0.0225327
0.296	0.0224509
0.298	0.0223641
0.3	0.0222727
0.302	0.0221773
0.304	0.0220784
0.306	0.0219764
0.308	0.0218719
0.31	0.0217654
0.312	0.0216575
0.314	0.0215486
0.316	0.0214393
0.318	0.02133
0.32	0.0212213
0.322	0.0211136
0.324	0.0210074
0.326	0.0209031
0.328	0.0208012
0.33	0.0207019
0.332	0.0206058
0.334	0.0205132
0.336	0.0204243
0.338	0.0203395
0.34	0.0202592
0.342	0.0201834
0.344	0.0201126
0.346	0.0200468
0.348	0.0199863
0.35	0.0199313
0.352	0.0198819
0.354	0.0198382
0.356	0.0198002
0.358	0.0197682
0.36	0.0197421
0.362	0.019722
0.364	0.0197079
0.366	0.0196998
0.368	0.0196976
0.37	0.0197013
0.372	0.0197109
0.374	0.0197262
0.376	0.0197471
0.378	0.0197735
0.38	0.0198053
0.382	0.0198423
0.384	0.0198843
0.386	0.0199311
0.388	0.0199824
0.39	0.020038
0.392	0.0200976
0.394	0.0201609
0.396	0.0202277
0.398	0.0202975
0.4	0.0203701
0.402	0.0204451
0.404	0.020522
0.406	0.0206006
0.408	0.0206803
0.41	0.0207608
0.412	0.0208416
0.414	0.0209222
0.416	0.0210023
0.418	0.0210813
0.42	0.0211589
0.422	0.0212345
0.424	0.0213077
0.426	0.0213781
0.428	0.0214451
0.43	0.0215085
0.432	0.0215678
0.434	0.0216226
0.436	0.0216725
0.438	0.0217172
0.44	0.0217564
0.442	0.0217898
0.444	0.0218172
0.446	0.0218383
0.448	0.021853
0.45	0.0218612
0.452	0.0218627
0.454	0.0218575
0.456	0.0218456
0.458	0.021827
0.46	0.0218018
0.462	0.0217701
0.464	0.021732
0.466	0.0216878
0.468	0.0216376
0.47	0.0215818
0.472	0.0215205
0.474	0.0214542
0.476	0.0213831
0.478	0.0213076
0.48	0.0212281
0.482	0.021145
0.484	0.0210587
0.486	0.0209696
0.488	0.0208782
0.49	0.0207848
0.492	0.02069
0.494	0.0205941
0.496	0.0204976
0.498	0.0204008
0.5	0.0203043
0.502	0.0202083
0.504	0.0201134
0.506	0.0200198
0.508	0.0199279
0.51	0.019838
0.512	0.0197505
0.514	0.0196657
0.516	0.0195839
0.518	0.0195053
0.52	0.0194302
0.522	0.0193589
0.524	0.0192914
0.526	0.019228
0.528	0.019169
0.53	0.0191144
0.532	0.0190643
0.534	0.0190189
0.536	0.0189783
0.538	0.0189426
0.54	0.0189117
0.542	0.0188858
0.544	0.0188649
0.546	0.0188489
0.548	0.018838
0.55	0.0188319
0.552	0.0188307
0.554	0.0188344
0.556	0.0188428
0.558	0.0188558
0.56	0.0188733
0.562	0.0188952
0.564	0.0189214
0.566	0.0189516
0.568	0.0189857
0.57	0.0190235
0.572	0.0190648
0.574	0.0191093
0.576	0.0191567
0.578	0.0192069
0.58	0.0192594
0.582	0.0193141
0.584	0.0193706
0.586	0.0194286
0.588	0.0194878
0.59	0.0195477
0.592	0.0196081
0.594	0.0196686
0.596	0.0197288
0.598	0.0197883
0.6	0.0198468
0.602	0.0199038
0.604	0.0199591
0.606	0.0200122
0.608	0.0200628
0.61	0.0201106
0.612	0.0201551
0.614	0.0201961
0.616	0.0202333
0.618	0.0202664
0.62	0.0202951
0.622	0.0203192
0.624	0.0203384
0.626	0.0203527
0.628	0.0203618
0.63	0.0203657
0.632	0.0203642
0.634	0.0203573
0.636	0.020345
0.638	0.0203274
0.64	0.0203043
0.642	0.020276
0.644	0.0202425
0.646	0.020204
0.648	0.0201607
0.65	0.0201127
0.652	0.0200604
0.654	0.0200038
0.656	0.0199434
0.658	0.0198794
0.66	0.0198121
0.662	0.0197418
0.664	0.0196688
0.666	0.0195936
0.668	0.0195164
0.67	0.0194375
0.672	0.0193574
0.674	0.0192763
0.676	0.0191946
0.678	0.0191127
0.68	0.0190308
0.682	0.0189494
0.684	0.0188686
0.686	0.0187888
0.688	0.0187103
0.69	0.0186334
0.692	0.0185583
0.694	0.0184852
0.696	0.0184144
0.698	0.0183461
0.7	0.0182805
0.702	0.0182178
0.704	0.0181581
0.706	0.0181016
0.708	0.0180485
0.71	0.0179988
0.712	0.0179527
0.714	0.0179103
0.716	0.0178715
0.718	0.0178366
0.72	0.0178056
0.722	0.0177784
0.724	0.0177551
0.726	0.0177358
0.728	0.0177204
0.73	0.0177089
0.732	0.0177012
0.734	0.0176974
0.736	0.0176974
0.738	0.0177011
0.74	0.0177084
0.742	0.0177193
0.744	0.0177336
0.746	0.0177512
0.748	0.0177721
0.75	0.0177959
0.752	0.0178227
0.754	0.0178522
0.756	0.0178842
0.758	0.0179186
0.76	0.0179551
0.762	0.0179935
0.764	0.0180336
0.766	0.0180751
0.768	0.0181179
0.77	0.0181615
0.772	0.0182059
0.774	0.0182506
0.776	0.0182954
0.778	0.01834
0.78	0.0183842
0.782	0.0184275
0.784	0.0184698
0.786	0.0185108
0.788	0.0185501
0.79	0.0185874
0.792	0.0186226
0.794	0.0186553
0.796	0.0186852
0.798	0.0187122
0.8	0.0187361
0.802	0.0187565
0.804	0.0187733
0.806	0.0187865
0.808	0.0187957
0.81	0.018801
0.812	0.0188021
0.814	0.0187991
0.816	0.018792
0.818	0.0187806
0.82	0.018765
0.822	0.0187453
0.824	0.0187215
0.826	0.0186937
0.828	0.0186621
0.83	0.0186267
0.832	0.0185877
0.834	0.0185453
0.836	0.0184998
0.838	0.0184512
0.84	0.0183998
0.842	0.018346
