 x 	 f(x) 
0	0.0840187728
0.002	0.0414382911
0.004	0.0823099127
0.006	0.0858439679
0.008	0.0991646526
0.01	0.0297549703
0.012	0.0455219871
0.014	0.090822503
0.016	0.0437767895
0.018	0.0733960259
0.02	0.0677383721
0.022	0.0848853158
0.024	0.060476144
0.026	0.077337162
0.028	0.123219315
0.03	0.12161501
0.032	0.0955657119
0.034	0.105723146
0.036	0.0501524806
0.038	0.0986877433
0.04	0.0416193914
0.042	0.0662763298
0.044	0.0577089614
0.046	0.126401454
0.048	0.0636494795
0.05	0.0900736075
0.052	0.0649556125
0.054	0.0648546399
0.056	0.155863185
0.058	0.0797931774
0.06	0.111257248
0.062	0.145871509
0.064	0.125220303
0.066	0.0955552568
0.068	0.131702833
0.07	0.122371564
0.072	0.121296107
0.074	0.171209985
0.076	0.105178538
0.078	0.155056704
0.08	0.13258919
0.082	0.158899521
0.084	0.123924113
0.086	0.175046974
0.088	0.116217939
0.09	0.125124385
0.092	0.172642727
0.094	0.18576428
0.096	0.10282814
0.098	0.192775915
0.1	0.152432954
0.102	0.110428808
0.104	0.123034009
0.106	0.172124299
0.108	0.196813433
0.11	0.144667594
0.112	0.118183124
0.114	0.115755541
0.116	0.1615102
0.118	0.124035936
0.12	0.143540203
0.122	0.218760994
0.124	0.213903283
0.126	0.210758847
0.128	0.154317337
0.13	0.183610178
0.132	0.169137704
0.134	0.209624215
0.136	0.186834684
0.138	0.204334782
0.14	0.192703758
0.142	0.145451301
0.144	0.187266611
0.146	0.238665369
0.148	0.240541272
0.15	0.221533366
0.152	0.179844716
0.154	0.227245444
0.156	0.219365916
0.158	0.192748302
0.16	0.228104345
0.162	0.177889758
0.164	0.207276282
0.166	0.253246189
0.168	0.250130953
0.17	0.202216063
0.172	0.194049996
0.174	0.262460566
0.176	0.210128795
0.178	0.245728518
0.18	0.274676396
0.182	0.239860917
0.184	0.24869391
0.186	0.270797009
0.188	0.230850501
0.19	0.281255876
0.192	0.230666191
0.194	0.274262079
0.196	0.263169338
0.198	0.287806007
0.2	0.246918397
0.202	0.222211561
0.204	0.297613233
0.206	0.296558942
0.208	0.221269424
0.21	0.296566115
0.212	0.274523605
0.214	0.255565688
0.216	0.276283946
0.218	0.244383334
0.22	0.296829833
0.222	0.250926767
0.224	0.266834815
0.226	0.246691707
0.228	0.244783047
0.23	0.255600992
0.232	0.285568774
0.234	0.273520483
0.236	0.250776092
0.238	0.326439867
0.24	0.248019745
0.242	0.25225236
0.244	0.291130472
0.246	0.319573863
0.248	0.343940805
0.25	0.340904359
0.252	0.31778579
0.254	0.289596453
0.256	0.328190034
0.258	0.292013614
0.26	0.286496588
0.262	0.28223897
0.264	0.319392896
0.266	0.287315503
0.268	0.280042342
0.27	0.339946289
0.272	0.281205934
0.274	0.349931414
0.276	0.288919419
0.278	0.348940127
0.28	0.283808628
0.282	0.373287611
0.284	0.285450575
0.286	0.334273307
0.288	0.301656232
0.29	0.309958462
0.292	0.367647943
0.294	0.363048342
0.296	0.357352871
0.298	0.390349458
0.3	0.359466042
0.302	0.373403774
0.304	0.308687226
0.306	0.314737114
0.308	0.355174369
0.31	0.31288185
0.312	0.313953332
0.314	0.329331028
0.316	0.35690916
0.318	0.394635191
0.32	0.371898421
0.322	0.392022485
0.324	0.323554857
0.326	0.336036989
0.328	0.422149653
0.33	0.34447589
0.332	0.414930028
0.334	0.340371443
0.336	0.429493314
0.338	0.337006675
0.34	0.420541077
0.342	0.342604813
0.344	0.337671594
0.346	0.431444495
0.348	0.400407593
0.35	0.360935034
0.352	0.361089016
0.354	0.385821568
0.356	0.439830507
0.358	0.432371254
0.36	0.38818377
0.362	0.409393826
0.364	0.413957991
0.366	0.403140823
0.368	0.428488796
0.37	0.371579438
0.372	0.416560159
0.374	0.441071221
0.376	0.397632369
0.378	0.468285244
0.38	0.428617581
0.382	0.460538434
0.384	0.44941308
0.386	0.439376742
0.388	0.381879928
0.39	0.4549687
0.392	0.465361326
0.394	0.476422653
0.396	0.473058127
0.398	0.470679195
0.4	0.487361756
0.402	0.465640803
0.404	0.483436094
0.406	0.493297238
0.408	0.463462321
0.41	0.448335179
0.412	0.416839571
0.414	0.485275797
0.416	0.492999719
0.418	0.413632929
0.42	0.472731149
0.422	0.434390226
0.424	0.474357508
0.426	0.436145312
0.428	0.485114032
0.43	0.448557517
0.432	0.451565603
0.434	0.443646116
0.436	0.429733158
0.438	0.487436331
0.44	0.448305107
0.442	0.492861326
0.444	0.480623653
0.446	0.528506846
0.448	0.461167973
0.45	0.489576222
0.452	0.508692413
0.454	0.449891889
0.456	0.487508699
0.458	0.501409106
0.46	0.538379919
0.462	0.49083108
0.464	0.481163868
0.466	0.534084843
0.468	0.494553574
0.47	0.453209431
0.472	0.489162811
0.474	0.516297056
0.476	0.541551842
0.478	0.483393434
0.48	0.529326771
0.482	0.511847268
0.484	0.513517034
0.486	0.49758837
0.488	0.54006901
0.49	0.488881468
0.492	0.534571895
0.494	0.478237876
0.496	0.517309756
0.498	0.547267793
0.5	0.546819187
0.502	0.544943762
0.504	0.517643612
0.506	0.503144619
0.508	0.547341371
0.51	0.550893034
0.512	0.562994693
0.514	0.524501755
0.516	0.567448741
0.518	0.515364785
0.52	0.588971573
0.522	0.567090433
0.524	0.565660466
0.526	0.527804626
0.528	0.557050813
0.53	0.514297704
0.532	0.533307638
0.534	0.596718911
0.536	0.579313545
0.538	0.521793571
0.54	0.525263554
0.542	0.55201047
0.544	0.575231754
0.546	0.578594106
0.548	0.587636795
0.55	0.551565006
0.552	0.601967958
0.554	0.554931077
0.556	0.560757146
0.558	0.548465725
0.56	0.629622518
0.562	0.533237502
0.564	0.617310075
0.566	0.569408044
0.568	0.556767273
0.57	0.583281749
0.572	0.637178464
0.574	0.634888368
0.576	0.621160853
0.578	0.616257457
0.58	0.560138253
0.582	0.618274342
0.584	0.589748589
0.586	0.63046017
0.588	0.649003158
0.59	0.647988317
0.592	0.644213504
0.594	0.580035148
0.596	0.640702305
0.598	0.61779488
0.6	0.594371318
0.602	0.656785264
0.604	0.658903583
0.606	0.656982191
0.608	0.621041411
0.61	0.630487413
0.612	0.590781283
0.614	0.603532578
0.616	0.664232903
0.618	0.628646125
0.62	0.627401375
0.622	0.66755597
0.624	0.633883758
0.626	0.615013273
0.628	0.605569649
0.63	0.657562599
0.632	0.66351466
0.634	0.606277966
0.636	0.654293172
0.638	0.644832228
0.64	0.681008799
0.642	0.671223636
0.644	0.61821979
0.646	0.624193791
0.648	0.653445576
0.65	0.617312284
0.652	0.620601208
0.654	0.644410152
0.656	0.642432685
0.658	0.704725174
0.66	0.703965316
0.662	0.676905156
0.664	0.699954683
0.666	0.699658504
0.668	0.669024544
0.67	0.654483157
0.672	0.661985104
0.674	0.689999415
0.676	0.686565996
0.678	0.653127235
0.68	0.643916022
0.682	0.637601412
0.684	0.642683104
0.686	0.698167852
0.688	0.671353247
0.69	0.665364134
0.692	0.671216982
0.694	0.648731924
0.696	0.683885945
0.698	0.736136183
0.7	0.702574717
0.702	0.672292215
0.704	0.71314656
0.706	0.724972899
0.708	0.699058432
0.71	0.667560983
0.712	0.741652851
0.714	0.717428526
0.716	0.708143656
0.718	0.678664101
0.72	0.715140734
0.722	0.703506901
0.724	0.745380519
0.726	0.703322448
0.728	0.689810653
0.73	0.699470983
0.732	0.741294653
0.734	0.733710407
0.736	0.769813113
0.738	0.706633919
0.74	0.764043936
0.742	0.689370961
0.744	0.718315178
0.746	0.679247414
0.748	0.758502218
0.75	0.759077383
0.752	0.712468581
0.754	0.696026836
0.756	0.772570082
0.758	0.759570976
0.76	0.693837691
0.762	0.73528025
0.764	0.790461982
