 x  	 F(x)  
0	0.01153
0.002	0.0115662
0.004	0.011916
0.006	0.0127302
0.008	0.0135821
0.01	0.014473
0.012	0.0154042
0.014	0.0163772
0.016	0.0173933
0.018	0.0184538
0.02	0.01956
0.022	0.0207132
0.024	0.0219147
0.026	0.0231656
0.028	0.0244672
0.03	0.0258206
0.032	0.0272268
0.034	0.0286868
0.036	0.0302014
0.038	0.0317715
0.04	0.0333976
0.042	0.0350805
0.044	0.0368203
0.046	0.0386175
0.048	0.0404722
0.05	0.0423842
0.052	0.0443533
0.054	0.0463792
0.056	0.0484612
0.058	0.0505984
0.06	0.0527899
0.062	0.0550343
0.064	0.0573303
0.066	0.059676
0.068	0.0620696
0.07	0.064509
0.072	0.0669917
0.074	0.0695152
0.076	0.0720767
0.078	0.0746731
0.08	0.0773014
0.082	0.0799581
0.084	0.0826397
0.086	0.0853427
0.088	0.0880631
0.09	0.0907971
0.092	0.0935408
0.094	0.0962902
0.096	0.0990411
0.098	0.101789
0.1	0.104531
0.102	0.107263
0.104	0.109979
0.106	0.112678
0.108	0.115354
0.11	0.118004
0.112	0.120626
0.114	0.123214
0.116	0.125766
0.118	0.12828
0.12	0.130752
0.122	0.13318
0.124	0.135562
0.126	0.137895
0.128	0.140177
0.13	0.142407
0.132	0.144583
0.134	0.146704
0.136	0.14877
0.138	0.150779
0.14	0.15273
0.142	0.154624
0.144	0.156459
0.146	0.158237
0.148	0.159957
0.15	0.161619
0.152	0.163224
0.154	0.164773
0.156	0.166266
0.158	0.167703
0.16	0.169087
0.162	0.170417
0.164	0.171696
0.166	0.172923
0.168	0.1741
0.17	0.175229
0.172	0.176311
0.174	0.177347
0.176	0.178338
0.178	0.179286
0.18	0.180192
0.182	0.181058
0.184	0.181884
0.186	0.182706
0.188	0.183569
0.19	0.184474
0.192	0.185423
0.194	0.186417
0.196	0.187459
0.198	0.188548
0.2	0.189687
0.202	0.190877
0.204	0.19212
0.206	0.193417
0.208	0.194769
0.21	0.196177
0.212	0.197643
0.214	0.199167
0.216	0.20075
0.218	0.202394
0.22	0.204099
0.222	0.205865
0.224	0.207692
0.226	0.209582
0.228	0.211534
0.23	0.213547
0.232	0.215622
0.234	0.217758
0.236	0.219953
0.238	0.222208
0.24	0.22452
0.242	0.226888
0.244	0.229311
0.246	0.231785
0.248	0.23431
0.25	0.236882
0.252	0.239498
0.254	0.242156
0.256	0.244853
0.258	0.247584
0.26	0.250346
0.262	0.253136
0.264	0.255949
0.266	0.258782
0.268	0.261629
0.27	0.264488
0.272	0.267353
0.274	0.27022
0.276	0.273084
0.278	0.275942
0.28	0.278788
0.282	0.281619
0.284	0.284431
0.286	0.287219
0.288	0.289979
0.29	0.292708
0.292	0.295402
0.294	0.298058
0.296	0.300673
0.298	0.303243
0.3	0.305766
0.302	0.30824
0.304	0.310661
0.306	0.31303
0.308	0.315343
0.31	0.317599
0.312	0.319797
0.314	0.321935
0.316	0.324014
0.318	0.326033
0.32	0.327991
0.322	0.329888
0.324	0.331725
0.326	0.3335
0.328	0.335216
0.33	0.336872
0.332	0.338469
0.334	0.340008
0.336	0.34149
0.338	0.342916
0.34	0.344287
0.342	0.345604
0.344	0.346868
0.346	0.348081
0.348	0.349244
0.35	0.350358
0.352	0.351426
0.354	0.352448
0.356	0.353425
0.358	0.35436
0.36	0.355253
0.362	0.356106
0.364	0.356921
0.366	0.357707
0.368	0.358519
0.37	0.359367
0.372	0.360253
0.374	0.361179
0.376	0.362145
0.378	0.363153
0.38	0.364205
0.382	0.3653
0.384	0.366442
0.386	0.36763
0.388	0.368866
0.39	0.370151
0.392	0.371486
0.394	0.372872
0.396	0.37431
0.398	0.3758
0.4	0.377344
0.402	0.378942
0.404	0.380594
0.406	0.3823
0.408	0.384061
0.41	0.385877
0.412	0.387747
0.414	0.389672
0.416	0.39165
0.418	0.393681
0.42	0.395764
0.422	0.397898
0.424	0.400081
0.426	0.402313
0.428	0.40459
0.43	0.406911
0.432	0.409275
0.434	0.411678
0.436	0.414117
0.438	0.416591
0.44	0.419096
0.442	0.421629
0.444	0.424186
0.446	0.426764
0.448	0.42936
0.45	0.43197
0.452	0.43459
0.454	0.437217
0.456	0.439845
0.458	0.442473
0.46	0.445095
0.462	0.447708
0.464	0.450308
0.466	0.452891
0.468	0.455455
0.47	0.457994
0.472	0.460507
0.474	0.462989
0.476	0.465438
0.478	0.46785
0.48	0.470224
0.482	0.472557
0.484	0.474846
0.486	0.477089
0.488	0.479284
0.49	0.481431
0.492	0.483527
0.494	0.485571
0.496	0.487563
0.498	0.4895
0.5	0.491384
0.502	0.493213
0.504	0.494988
0.506	0.496707
0.508	0.498372
0.51	0.499982
0.512	0.501538
0.514	0.503041
0.516	0.50449
0.518	0.505888
0.52	0.507234
0.522	0.508529
0.524	0.509776
0.526	0.510973
0.528	0.512124
0.53	0.513229
0.532	0.514288
0.534	0.515304
0.536	0.516278
0.538	0.517211
0.54	0.518104
0.542	0.518958
0.544	0.519775
0.546	0.52048
0.548	0.521155
0.55	0.521863
0.552	0.522604
0.554	0.52338
0.556	0.524191
0.558	0.525041
0.56	0.525928
0.562	0.526855
0.564	0.527823
0.566	0.528833
0.568	0.529886
0.57	0.530983
0.572	0.532126
0.574	0.533314
0.576	0.53455
0.578	0.535834
0.58	0.537166
0.582	0.538548
0.584	0.53998
0.586	0.541462
0.588	0.542995
0.59	0.544578
0.592	0.546213
0.594	0.547898
0.596	0.549633
0.598	0.551418
0.6	0.553252
0.602	0.555135
0.604	0.557065
0.606	0.55904
0.608	0.561061
0.61	0.563123
0.612	0.565227
0.614	0.567369
0.616	0.569548
0.618	0.571761
0.62	0.574005
0.622	0.576278
0.624	0.578576
0.626	0.580896
0.628	0.583235
0.63	0.58559
0.632	0.587957
0.634	0.590333
0.636	0.592714
0.638	0.595096
0.64	0.597475
0.642	0.599849
0.644	0.602213
0.646	0.604564
0.648	0.606899
0.65	0.609214
0.652	0.611505
0.654	0.613771
0.656	0.616007
0.658	0.618211
0.66	0.620381
0.662	0.622514
0.664	0.624608
0.666	0.62666
0.668	0.62867
0.67	0.630634
0.672	0.632553
0.674	0.634424
0.676	0.636247
0.678	0.638021
0.68	0.639745
0.682	0.641419
0.684	0.643043
0.686	0.644616
0.688	0.646138
0.69	0.64761
0.692	0.649033
0.694	0.650405
0.696	0.651729
0.698	0.653005
0.7	0.654233
0.702	0.655414
0.704	0.65655
0.706	0.657641
0.708	0.658688
0.71	0.659693
0.712	0.660657
0.714	0.66158
0.716	0.662464
0.718	0.663311
0.72	0.66412
0.722	0.664894
0.724	0.665634
0.726	0.66618
0.728	0.666698
0.73	0.667242
0.732	0.667814
0.734	0.668414
0.736	0.669045
0.738	0.669706
0.74	0.670399
0.742	0.671125
0.744	0.671886
0.746	0.672681
0.748	0.673514
0.75	0.674383
0.752	0.675292
0.754	0.676239
0.756	0.677228
0.758	0.678257
0.76	0.679329
0.762	0.680444
0.764	0.681603
0.766	0.682805
0.768	0.684053
0.77	0.685345
0.772	0.686683
0.774	0.688066
0.776	0.689495
0.778	0.690969
0.78	0.692488
0.782	0.694051
0.784	0.695658
0.786	0.697307
0.788	0.698998
0.79	0.70073
0.792	0.7025
0.794	0.704308
0.796	0.706151
0.798	0.708027
0.8	0.709935
0.802	0.711871
0.804	0.713833
0.806	0.715819
0.808	0.717826
0.81	0.71985
0.812	0.721889
0.814	0.723939
0.816	0.725997
0.818	0.72806
0.82	0.730124
0.822	0.732186
0.824	0.734243
0.826	0.736292
0.828	0.738329
0.83	0.740351
0.832	0.742354
0.834	0.744337
0.836	0.746296
0.838	0.748229
0.84	0.750133
0.842	0.752005
0.844	0.753844
0.846	0.755648
0.848	0.757414
0.85	0.759141
0.852	0.760828
0.854	0.762474
0.856	0.764077
0.858	0.765636
0.86	0.767152
0.862	0.768623
0.864	0.770049
0.866	0.77143
0.868	0.772766
0.87	0.774057
0.872	0.775304
0.874	0.776507
0.876	0.777665
0.878	0.778781
0.88	0.779854
0.882	0.780886
0.884	0.781876
0.886	0.782827
0.888	0.783739
0.89	0.784613
0.892	0.78545
0.894	0.786251
0.896	0.787017
0.898	0.78775
0.9	0.78845
0.902	0.789119
0.904	0.789757
