 x  	 F(x)  
0	0.00205601
0.002	0.00345725
0.004	0.00486535
0.006	0.00628052
0.008	0.00770294
0.01	0.00913283
0.012	0.0105704
0.014	0.0120158
0.016	0.0134693
0.018	0.0149311
0.02	0.0164014
0.022	0.0178803
0.024	0.0193682
0.026	0.0208651
0.028	0.0223714
0.03	0.0238872
0.032	0.0254128
0.034	0.0269483
0.036	0.028494
0.038	0.0300501
0.04	0.0316167
0.042	0.0331942
0.044	0.0347827
0.046	0.0363825
0.048	0.0379938
0.05	0.0396167
0.052	0.0412515
0.054	0.0428985
0.056	0.0445577
0.058	0.0462296
0.06	0.0479142
0.062	0.0496118
0.064	0.0513226
0.066	0.0530468
0.068	0.0547847
0.07	0.0565364
0.072	0.0583021
0.074	0.0600821
0.076	0.0618766
0.078	0.0636857
0.08	0.0655096
0.082	0.0673486
0.084	0.0692029
0.086	0.0710726
0.088	0.0729578
0.09	0.0748589
0.092	0.0767759
0.094	0.078709
0.096	0.0806583
0.098	0.0826241
0.1	0.0846065
0.102	0.0866055
0.104	0.0886213
0.106	0.090654
0.108	0.0927038
0.11	0.0947707
0.112	0.0968548
0.114	0.0989561
0.116	0.101075
0.118	0.103211
0.12	0.105364
0.122	0.107535
0.124	0.109723
0.126	0.111929
0.128	0.114152
0.13	0.116392
0.132	0.118649
0.134	0.120924
0.136	0.123215
0.138	0.125524
0.14	0.127849
0.142	0.13019
0.144	0.132548
0.146	0.134922
0.148	0.137312
0.15	0.139717
0.152	0.142137
0.154	0.144573
0.156	0.147022
0.158	0.149486
0.16	0.151964
0.162	0.154455
0.164	0.156959
0.166	0.159475
0.168	0.162003
0.17	0.164542
0.172	0.167092
0.174	0.169651
0.176	0.17222
0.178	0.174798
0.18	0.177383
0.182	0.179976
0.184	0.182575
0.186	0.18518
0.188	0.187789
0.19	0.190403
0.192	0.193019
0.194	0.195638
0.196	0.198258
0.198	0.200879
0.2	0.203498
0.202	0.206117
0.204	0.208732
0.206	0.211344
0.208	0.213952
0.21	0.216554
0.212	0.219149
0.214	0.221737
0.216	0.224315
0.218	0.226885
0.22	0.229443
0.222	0.23199
0.224	0.234524
0.226	0.237044
0.228	0.239549
0.23	0.242039
0.232	0.244511
0.234	0.246967
0.236	0.249403
0.238	0.25182
0.24	0.254217
0.242	0.256592
0.244	0.258946
0.246	0.261277
0.248	0.263584
0.25	0.265867
0.252	0.268126
0.254	0.270359
0.256	0.272566
0.258	0.274747
0.26	0.2769
0.262	0.279027
0.264	0.281126
0.266	0.283197
0.268	0.28524
0.27	0.287254
0.272	0.28924
0.274	0.291197
0.276	0.293125
0.278	0.295025
0.28	0.296895
0.282	0.298738
0.284	0.300552
0.286	0.302337
0.288	0.304095
0.29	0.305825
0.292	0.307528
0.294	0.309204
0.296	0.310853
0.298	0.312476
0.3	0.314074
0.302	0.315647
0.304	0.317195
0.306	0.31872
0.308	0.320221
0.31	0.3217
0.312	0.323157
