 x  	 F(x)  
0	0.0313854
0.002	0.0325023
0.004	0.0336359
0.006	0.0347855
0.008	0.0359505
0.01	0.0371302
0.012	0.038324
0.014	0.0395311
0.016	0.0407509
0.018	0.0419827
0.02	0.0432257
0.022	0.0444795
0.024	0.0457433
0.026	0.0470164
0.028	0.0482984
0.03	0.0495886
0.032	0.0508865
0.034	0.0521915
0.036	0.0535033
0.038	0.0548214
0.04	0.0561453
0.042	0.0574747
0.044	0.0588094
0.046	0.0601491
0.048	0.0614935
0.05	0.0628426
0.052	0.0641961
0.054	0.0655541
0.056	0.0669165
0.058	0.0682833
0.06	0.0696547
0.062	0.0710307
0.064	0.0724116
0.066	0.0737976
0.068	0.075189
0.07	0.076586
0.072	0.0779892
0.074	0.0793987
0.076	0.0808152
0.078	0.0822391
0.08	0.0836708
0.082	0.0851111
0.084	0.0865604
0.086	0.0880193
0.088	0.0894885
0.09	0.0909687
0.092	0.0924605
0.094	0.0939646
0.096	0.0954817
0.098	0.0970125
0.1	0.0985578
0.102	0.100118
0.104	0.101694
0.106	0.103287
0.108	0.104898
0.11	0.106526
0.112	0.108172
0.114	0.109838
0.116	0.111524
0.118	0.11323
0.12	0.114958
0.122	0.116706
0.124	0.118477
0.126	0.12027
0.128	0.122085
0.13	0.123924
0.132	0.125785
0.134	0.12767
0.136	0.129578
0.138	0.131509
0.14	0.133463
0.142	0.13544
0.144	0.13744
0.146	0.139462
0.148	0.141505
0.15	0.14357
0.152	0.145656
0.154	0.147761
0.156	0.149886
0.158	0.152028
0.16	0.154188
0.162	0.156363
0.164	0.158553
0.166	0.160757
0.168	0.162973
0.17	0.1652
0.172	0.167436
0.174	0.16968
0.176	0.171931
0.178	0.174187
0.18	0.176445
0.182	0.178706
0.184	0.180966
0.186	0.183226
0.188	0.185482
0.19	0.187733
0.192	0.189979
0.194	0.192217
0.196	0.194446
0.198	0.196665
0.2	0.198872
0.202	0.201066
0.204	0.203247
0.206	0.205412
0.208	0.207562
0.21	0.209695
0.212	0.211811
0.214	0.213908
0.216	0.215987
0.218	0.218047
0.22	0.220087
0.222	0.222107
0.224	0.224107
0.226	0.226088
0.228	0.228048
0.23	0.229989
0.232	0.23191
0.234	0.233813
0.236	0.235696
0.238	0.237561
0.24	0.239408
0.242	0.241238
0.244	0.243052
0.246	0.244851
0.248	0.246634
0.25	0.248404
0.252	0.250161
0.254	0.251906
0.256	0.25364
0.258	0.255364
0.26	0.25708
0.262	0.258788
0.264	0.260489
0.266	0.262185
0.268	0.263877
0.27	0.265567
0.272	0.267254
0.274	0.268942
0.276	0.270629
0.278	0.272319
0.28	0.274012
0.282	0.275709
0.284	0.277412
0.286	0.279121
0.288	0.280837
0.29	0.282563
0.292	0.284298
0.294	0.286044
0.296	0.287801
0.298	0.289571
0.3	0.291354
0.302	0.293151
0.304	0.294963
0.306	0.296791
0.308	0.298635
0.31	0.300495
0.312	0.302372
0.314	0.304266
0.316	0.306178
0.318	0.308107
0.32	0.310054
0.322	0.312019
0.324	0.314001
0.326	0.316001
0.328	0.318017
0.33	0.32005
0.332	0.322099
0.334	0.324163
0.336	0.326242
0.338	0.328334
0.34	0.330439
0.342	0.332557
0.344	0.334685
0.346	0.336822
0.348	0.338968
0.35	0.341122
0.352	0.34328
0.354	0.345444
0.356	0.34761
0.358	0.349778
0.36	0.351945
0.362	0.354111
0.364	0.356275
0.366	0.358433
0.368	0.360586
0.37	0.362731
0.372	0.364868
0.374	0.366994
0.376	0.369109
0.378	0.371211
0.38	0.3733
0.382	0.375373
0.384	0.37743
0.386	0.379471
0.388	0.381493
0.39	0.383497
0.392	0.385481
0.394	0.387446
0.396	0.389391
0.398	0.391314
0.4	0.393217
0.402	0.395099
0.404	0.396959
0.406	0.398798
0.408	0.400616
0.41	0.402413
0.412	0.404189
0.414	0.405946
0.416	0.407682
0.418	0.409399
0.42	0.411097
0.422	0.412778
0.424	0.414441
0.426	0.416087
0.428	0.417718
0.43	0.419334
0.432	0.420936
0.434	0.422525
0.436	0.424102
0.438	0.425668
0.44	0.427225
0.442	0.428773
0.444	0.430313
0.446	0.431847
0.448	0.433375
0.45	0.4349
0.452	0.436421
0.454	0.437941
0.456	0.439459
0.458	0.440979
0.46	0.4425
0.462	0.444023
0.464	0.445551
0.466	0.447083
0.468	0.448622
0.47	0.450167
0.472	0.45172
0.474	0.453283
0.476	0.454855
0.478	0.456438
0.48	0.458033
0.482	0.45964
0.484	0.46126
0.486	0.462893
0.488	0.464541
0.49	0.466204
0.492	0.467883
0.494	0.469576
0.496	0.471286
0.498	0.473012
0.5	0.474754
0.502	0.476513
0.504	0.478288
0.506	0.480079
0.508	0.481886
0.51	0.483709
0.512	0.485547
0.514	0.4874
0.516	0.489267
0.518	0.491147
0.52	0.49304
0.522	0.494945
0.524	0.496861
0.526	0.498787
0.528	0.500722
0.53	0.502665
0.532	0.504614
0.534	0.506568
0.536	0.508527
0.538	0.510488
0.54	0.512451
0.542	0.514414
0.544	0.516375
0.546	0.518334
0.548	0.520288
0.55	0.522238
0.552	0.52418
0.554	0.526115
0.556	0.52804
0.558	0.529954
0.56	0.531857
0.562	0.533748
0.564	0.535624
0.566	0.537486
0.568	0.539332
0.57	0.541162
0.572	0.542975
0.574	0.544771
0.576	0.546548
0.578	0.548306
0.58	0.550045
0.582	0.551766
0.584	0.553466
0.586	0.555148
0.588	0.556809
0.59	0.558452
0.592	0.560075
0.594	0.561679
0.596	0.563264
0.598	0.564831
0.6	0.566381
0.602	0.567913
0.604	0.569428
0.606	0.570927
0.608	0.572411
0.61	0.573881
0.612	0.575336
0.614	0.576778
0.616	0.578209
0.618	0.579628
0.62	0.581037
0.622	0.582436
0.624	0.583827
0.626	0.585211
0.628	0.586588
0.63	0.58796
0.632	0.589328
0.634	0.590692
0.636	0.592054
0.638	0.593415
0.64	0.594775
0.642	0.596137
0.644	0.5975
0.646	0.598865
0.648	0.600234
0.65	0.601608
0.652	0.602988
0.654	0.604373
0.656	0.605766
0.658	0.607167
0.66	0.608577
0.662	0.609996
0.664	0.611425
0.666	0.612865
0.668	0.614316
0.67	0.615779
0.672	0.617254
0.674	0.618742
0.676	0.620243
0.678	0.621757
0.68	0.623285
0.682	0.624826
0.684	0.62638
0.686	0.627948
0.688	0.62953
0.69	0.631124
0.692	0.632732
0.694	0.634352
0.696	0.635984
0.698	0.637627
0.7	0.639282
0.702	0.640947
0.704	0.642622
0.706	0.644305
0.708	0.645997
0.71	0.647695
0.712	0.6494
0.714	0.651109
0.716	0.652823
0.718	0.65454
0.72	0.656258
0.722	0.657977
0.724	0.659696
0.726	0.661413
0.728	0.663127
0.73	0.664837
0.732	0.666542
0.734	0.668241
0.736	0.669933
0.738	0.671616
0.74	0.67329
0.742	0.674953
0.744	0.676606
0.746	0.678246
0.748	0.679873
0.75	0.681487
0.752	0.683087
0.754	0.684672
0.756	0.686241
0.758	0.687795
0.76	0.689332
0.762	0.690853
0.764	0.692358
0.766	0.693846
0.768	0.695317
0.77	0.696771
0.772	0.698209
0.774	0.69963
