 x  	 F(x)  
0	0.00152493
0.002	0.00348428
0.004	0.00544364
0.006	0.00740301
0.008	0.00936237
0.01	0.0113217
0.012	0.0132811
0.014	0.0152405
0.016	0.0171999
0.018	0.0191593
0.02	0.0211186
0.022	0.023078
0.024	0.0250374
0.026	0.0269968
0.028	0.0289562
0.03	0.0309156
0.032	0.032875
0.034	0.0348344
0.036	0.0367939
0.038	0.0387533
0.04	0.0407127
0.042	0.0426721
0.044	0.0446315
0.046	0.046591
0.048	0.0485504
0.05	0.0505098
0.052	0.0524693
0.054	0.0544287
0.056	0.0563882
0.058	0.0583476
0.06	0.0603071
0.062	0.0622665
0.064	0.064226
0.066	0.0661854
0.068	0.0681449
0.07	0.0701044
0.072	0.0720638
0.074	0.0740233
0.076	0.0759828
0.078	0.0779423
0.08	0.0799018
0.082	0.0818613
0.084	0.0838207
0.086	0.0857802
0.088	0.0877397
0.09	0.0896992
0.092	0.0916587
0.094	0.0936183
0.096	0.0955778
0.098	0.0975373
0.1	0.0994968
0.102	0.101456
0.104	0.103416
0.106	0.105375
0.108	0.107335
0.11	0.109294
0.112	0.111254
0.114	0.113214
0.116	0.115173
0.118	0.117133
0.12	0.119092
0.122	0.121052
0.124	0.123011
0.126	0.124971
0.128	0.12693
0.13	0.12889
0.132	0.13085
0.134	0.132809
0.136	0.134769
0.138	0.136728
0.14	0.138688
0.142	0.140647
0.144	0.142607
0.146	0.144567
0.148	0.146526
0.15	0.148486
0.152	0.150445
0.154	0.152405
0.156	0.154365
0.158	0.156324
0.16	0.158284
0.162	0.160243
0.164	0.162203
0.166	0.164163
0.168	0.166122
0.17	0.168082
0.172	0.170042
0.174	0.172001
0.176	0.173961
0.178	0.175921
0.18	0.17788
0.182	0.179423
0.184	0.181193
0.186	0.183163
0.188	0.185132
0.19	0.187101
0.192	0.189071
0.194	0.19104
0.196	0.19301
0.198	0.194979
0.2	0.196948
0.202	0.198918
0.204	0.200887
0.206	0.202856
0.208	0.204826
0.21	0.206795
0.212	0.208764
0.214	0.210734
0.216	0.212703
0.218	0.214673
0.22	0.216642
0.222	0.218611
0.224	0.220581
0.226	0.22255
0.228	0.22452
0.23	0.226489
0.232	0.228458
0.234	0.230428
0.236	0.232397
0.238	0.234367
0.24	0.236336
0.242	0.238305
0.244	0.240275
0.246	0.242244
0.248	0.244214
0.25	0.246183
0.252	0.248153
0.254	0.250122
0.256	0.252091
0.258	0.254061
0.26	0.25603
0.262	0.258
0.264	0.259969
0.266	0.261939
0.268	0.263908
0.27	0.265878
0.272	0.267847
0.274	0.269816
0.276	0.271786
0.278	0.273755
0.28	0.275725
0.282	0.277694
0.284	0.279664
0.286	0.281633
0.288	0.283603
0.29	0.285572
0.292	0.287542
0.294	0.289511
0.296	0.291481
0.298	0.29345
0.3	0.29542
0.302	0.297389
0.304	0.299359
0.306	0.301328
0.308	0.303298
0.31	0.305267
0.312	0.307237
0.314	0.309206
0.316	0.311176
0.318	0.313145
0.32	0.315115
0.322	0.317084
0.324	0.319054
0.326	0.321023
0.328	0.322993
0.33	0.324963
0.332	0.326932
0.334	0.328902
0.336	0.330871
0.338	0.332841
0.34	0.33481
0.342	0.33678
0.344	0.338749
0.346	0.340719
0.348	0.342689
0.35	0.344658
0.352	0.346628
0.354	0.348597
0.356	0.350567
0.358	0.352536
0.36	0.354506
0.362	0.35609
0.364	0.357636
0.366	0.359404
0.368	0.361172
0.37	0.362939
0.372	0.364707
0.374	0.366475
0.376	0.368243
0.378	0.37001
0.38	0.371778
0.382	0.373546
